X1,X2,X3,Y,NX1,NX2,NX3,NY,,,,,,,,,,,,
5362.86,5278.92,5461.99,5416.77,-1.471108178,-1.519552585,-1.515589132,-1.528003745,,,,,,,,,,,,
5416.77,5362.86,5278.92,5450.28,-1.447572388,-1.481401646,-1.477433373,-1.489856482,,,,,,,,,x1,x2,x3,Y
5450.28,5416.77,5362.86,5465.3,-1.432484236,-1.456899417,-1.452928048,-1.465356614,,,,,,,,MEAN,8626.900327,8622.251277,8613.11095,8641.174043
5465.3,5450.28,5416.77,5371.22,-1.425721359,-1.441669039,-1.437695745,-1.450127703,,,,,,,,SD,2218.762954,2200.207739,2199.932009,2200.416124
5371.22,5465.3,5450.28,5384.65,-1.468081648,-1.434842412,-1.430868255,-1.443301733,,,,,,,,,,,,
5384.65,5371.22,5465.3,5202.28,-1.462034681,-1.477602005,-1.473633252,-1.486057207,,,,,,,,,,,,
5202.28,5384.65,5371.22,5318.49,-1.544148265,-1.471498037,-1.467528512,-1.479953827,,,,,,,,,,,,
5318.49,5202.28,5384.65,5305.89,-1.491823762,-1.554385655,-1.550426604,-1.562833459,,,,,,,,,,,,
5305.89,5318.49,5202.28,5264.91,-1.497497015,-1.501567921,-1.497602196,-1.510020814,,,,,,,,,,,,
5264.91,5305.89,5318.49,5249.32,-1.515948595,-1.507294653,-1.503329651,-1.515746994,,,,,,,,,,,,
5249.32,5264.91,5305.89,5104.3,-1.52296812,-1.525920164,-1.521957517,-1.534370711,,,,,,,,,,,,
5104.3,5249.32,5264.91,5081.47,-1.588264561,-1.533005858,-1.529044106,-1.541455722,,,,,,,,,,,,
5081.47,5104.3,5249.32,5089.36,-1.598543955,-1.598917808,-1.594964385,-1.607361322,,,,,,,,,,,,
5089.36,5081.47,5104.3,5150.55,-1.594991418,-1.6092941,-1.605341988,-1.617736614,,,,,,,,,,,,
5150.55,5089.36,5081.47,5105.78,-1.56744012,-1.605708075,-1.60175551,-1.614150935,,,,,,,,,,,,
5105.78,5150.55,5089.36,5279.17,-1.587598179,-1.577897068,-1.573940989,-1.586342607,,,,,,,,,,,,
5279.17,5105.78,5150.55,5265.96,-1.509527913,-1.598245145,-1.594291637,-1.606688723,,,,,,,,,,,,
5265.96,5279.17,5105.78,5280.96,-1.515475824,-1.519438959,-1.515475492,-1.52789013,,,,,,,,,,,,
5280.96,5265.96,5279.17,5348.4,-1.508721951,-1.525442937,-1.521480229,-1.533893529,,,,,,,,,,,,
5348.4,5280.96,5265.96,5352.7,-1.47835654,-1.5186254,-1.51466183,-1.527076649,,,,,,,,,,,,
5352.7,5348.4,5280.96,5400.1,-1.476420429,-1.487973752,-1.484006309,-1.496427955,,,,,,,,,,,,
5400.1,5352.7,5348.4,5390.69,-1.455078192,-1.486019391,-1.482051702,-1.494473782,,,,,,,,,,,,
5390.69,5400.1,5352.7,5409.5,-1.459315121,-1.464475974,-1.460505562,-1.47293244,,,,,,,,,,,,
5409.5,5390.69,5400.1,5424.01,-1.450845765,-1.468752842,-1.46478297,-1.477208896,,,,,,,,,,,,
5424.01,5409.5,5390.69,5454.18,-1.444312519,-1.46020365,-1.456232698,-1.468660528,,,,,,,,,,,,
5454.18,5424.01,5409.5,5485.55,-1.43072823,-1.453608819,-1.449637034,-1.462066333,,,,,,,,,,,,
5485.55,5454.18,5424.01,5473.47,-1.416603631,-1.439896479,-1.435922961,-1.448355314,,,,,,,,,,,,
5473.47,5485.55,5454.18,5474.62,-1.422042749,-1.425638736,-1.421663417,-1.434098945,,,,,,,,,,,,
5474.62,5473.47,5485.55,5439.68,-1.421524952,-1.431129126,-1.4271545,-1.439588806,,,,,,,,,,,,
5439.68,5474.62,5473.47,5388.3,-1.437256973,-1.430606449,-1.426631756,-1.439066178,,,,,,,,,,,,
5388.3,5439.68,5474.62,5379.13,-1.460391238,-1.446486765,-1.44251408,-1.454944965,,,,,,,,,,,,
